text,label,source
Dear customer your SBI account will be blocked today. Complete KYC immediately at sbi-kyc-verify.in to avoid suspension.,1,india_seed
Your PAN card not updated with Aadhaar. Account suspended. Update now: http://incometax-verify.xyz/update,1,india_seed
ICICI Bank: Your net banking is deactivated. Re-activate within 24 hours by submitting details here: icici-secure.in/login,1,india_seed
Your Paytm KYC has expired. Verify now or your wallet balance will be frozen. Click bit.ly/paytm-kyc,1,india_seed
URGENT: Your bank account will be deactivated due to incomplete KYC. Call 9876543210 immediately.,1,india_seed
Aadhaar verification pending. Your SIM card will be deactivated in 2 hours. Update Aadhaar at uidai-update.in,1,india_seed
Dear customer your electricity will be disconnected tonight 9:30 pm as your bill not updated. Call 8123456789 immediately - BSES,1,india_seed
Your Airtel mobile number will be disconnected today. Complete e-KYC verification urgently to continue services.,1,india_seed
Power supply will be cut today due to pending bill of Rs 1240. Pay now to avoid disconnection: payelectricity.in,1,india_seed
"Congratulations! Your number won Rs 25,00,000 in KBC lucky draw. To claim send your bank details on WhatsApp 7000012345.",1,india_seed
You have won a brand new iPhone 15 in Amazon Big Billion lucky draw! Claim your prize: amaz0n-rewards.xyz,1,india_seed
CONGRATULATIONS! You are selected for Rs 10 lakh government scheme. Pay Rs 4999 processing fee to receive funds.,1,india_seed
"Your mobile number has won 5,00,000 in Flipkart anniversary offer. Share OTP to claim your reward now.",1,india_seed
"Get instant personal loan up to 10 lakh approved in 5 minutes, no documents! Apply now: quickloan-approve.in",1,india_seed
"Pre-approved loan of Rs 2,00,000 for you! Just pay Rs 1500 file charges to release the amount today.",1,india_seed
Work from home and earn Rs 5000 daily! Just like YouTube videos. Pay Rs 500 registration. WhatsApp 9123456780.,1,india_seed
Part time job offer: earn 2000-8000 per day from home. No experience needed. Join on Telegram now.,1,india_seed
"We are hiring! Amazon data entry job, salary 35000/month. Pay Rs 999 for ID card to start immediately.",1,india_seed
"Double your money in 15 days with our crypto trading bot! Guaranteed 100% returns. Limited slots, invest now.",1,india_seed
"Join our VIP stock tips group and earn guaranteed 30% profit daily. Free entry today only, message admin.",1,india_seed
"Invest Rs 10000 and get Rs 50000 in one month, 100% safe government bond scheme. Hurry limited offer.",1,india_seed
Your FedEx parcel is held at customs. Pay Rs 250 clearance fee to release: fedex-clearance.xyz/pay,1,india_seed
India Post: Your package could not be delivered due to incomplete address. Update here: indiapost-redeliver.in,1,india_seed
Your parcel from DHL is pending. Customs duty Rs 350 unpaid. Pay now to avoid return: dhl-india-customs.top,1,india_seed
"Dear customer, your delivery is on hold. Confirm your address and pay Rs 99 redelivery charge: track-parcel.link",1,india_seed
You have a refund of Rs 1999 pending. Accept the request on your UPI app to receive the amount immediately.,1,india_seed
PhonePe cashback of Rs 500! Accept the collect request to credit your account now.,1,india_seed
Your payment failed but amount debited. Accept this UPI request to get your refund of Rs 2499.,1,india_seed
Scan this QR code to receive your prize money of Rs 5000 instantly in your bank account.,1,india_seed
This is Mumbai Cyber Police. A case is registered against your Aadhaar for money laundering. Call immediately or face arrest.,1,india_seed
"Your phone number is linked to illegal activity. You are under digital arrest. Do not disconnect, pay bail to settle.",1,india_seed
We have your private videos. Pay Rs 50000 within 24 hours or we will share them with all your contacts.,1,india_seed
FedEx: Illegal items found in your parcel sent to your name. Police complaint filed. Call to verify your innocence.,1,india_seed
Your HDFC credit card reward points worth Rs 8400 expiring today. Redeem now: hdfc-rewards.in/redeem,1,india_seed
Your SBI card will be charged Rs 9999 for membership. To cancel call 8000011223 and share OTP for verification.,1,india_seed
Your debit card is blocked due to suspicious activity. Verify card number and CVV here to unblock: card-unblock.in,1,india_seed
Your order is out for delivery but address incomplete. Verify and pay Re 1 to confirm: delivery-confirm.xyz,1,india_seed
Amazon: Your order is on hold. Update your payment details to avoid cancellation: amazon-update-pay.in,1,india_seed
"Income Tax Refund of Rs 15,490 approved. Verify your account number and IFSC to receive: itr-refund.in",1,india_seed
Your salary account requires re-verification. Click and login to keep your account active: bank-reverify.top,1,india_seed
RBI alert: your account flagged. Submit Aadhaar and PAN immediately to prevent freezing of funds.,1,india_seed
Your SIM will be upgraded to 5G. Forward the OTP you receive to 9000011122 to complete the upgrade.,1,india_seed
"To activate 5G on your number, share the 6-digit verification code sent to your phone with our executive.",1,india_seed
"Paytm customer care: your account has an issue. Call 8001234567 and follow steps to fix, keep your phone ready.",1,india_seed
PhonePe helpline: your transaction is stuck. Download AnyDesk and share the code so we can refund you.,1,india_seed
Facing problem with your order? Call Amazon helpline 7012345678 and share OTP for refund verification.,1,india_seed
Hello! Earn Rs 50 per task by liking YouTube videos. Send screenshot to receive payment. Join: t.me/easytask,1,india_seed
Flipkart work from home: rate hotels and earn 3000 daily. Send hi on WhatsApp 8800011223 to begin.,1,india_seed
"Your application is selected for online typing job, Rs 25000/month. Pay refundable deposit Rs 2000 to confirm.",1,india_seed
"I am an Army officer posted in Jammu, I want to buy your sofa. I will pay via Army UPI, accept the request first.",1,india_seed
"Sir I am interested in your bike on OLX. I am in military, can't come, paying advance now, scan this QR to receive.",1,india_seed
